city,state_id,lat,lng,population,zips
Big Spring,TX,32.2389,-101.4799,24769,79720 79721
Ardmore,OK,34.1949,-97.1256,24757,73401 73402 73403
Sandusky,OH,41.4468,-82.7024,24748,44870 44871
Zanesville,OH,39.9565,-82.0132,24726,43701 43702
Morton Grove,IL,42.0423,-87.789,24687,60053
Paris,TX,33.6688,-95.546,24678,75462 75460 75461
San Benito,TX,26.1298,-97.644,24677,78586
Suitland,MD,38.8492,-76.9225,24667,20746 20747 20752 20790
Cloverleaf,TX,29.7882,-95.1724,24630,77015
Socastee,SC,33.6871,-79.0086,24629,29588
Belton,MO,38.8192,-94.5335,24618,64012
Port St. John,FL,28.4757,-80.8104,24617,32927
Bainbridge Island,WA,47.6439,-122.5434,24607,98110 98061
Maywood,CA,33.9886,-118.1877,24593,90270
Wyandotte,MI,42.2113,-83.1558,24593,48192
Selma,CA,36.5715,-119.6143,24586,93662
Watertown,NY,43.9734,-75.9094,24574,13601
